,Sponsor,Control Unit,Division,Department,Sponsor Class,2014,2015,2016
1658,NIH National Institute on Deafness and Other Communication Disorders,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,1611194,63531,-3122
1659,NIH National Institute on Deafness and Other Communication Disorders,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,519488,276,0
1660,NIH National Institute on Drug Abuse,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,1347799,-4599,-24894
1661,NIH National Institute on Drug Abuse,Schools,School of Public Health,Null,Federal,705063,0,-3533
1662,NIH National Institute on Drug Abuse,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,2787524,141506,-6560
1663,NIH National Institute on Drug Abuse,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,3363685,-10187,544768
1664,NIH National Institute on Drug Abuse,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Federal,36121,-5859,0
1665,NIH National Institute on Drug Abuse,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Federal,36121,-5859,0
1666,NIH National Institute on Drug Abuse,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Federal,1857704,0,-6265
1667,NIH National Institutes of Health - Miscellaneous,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,92205,0,0
1668,NIH National Institutes of Health - Miscellaneous,Colleges,College of Chemistry,Chemistry Department,Federal,1280060,110388,0
1669,NIH National Institutes of Health - Miscellaneous,Colleges,College of Engineering,Mechanical Engineering,Federal,35229,0,0
1670,NIH National Institutes of Health - Miscellaneous,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,371844,0,363207
1671,NIH National Institutes of Health - Miscellaneous,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,148518,537636,0
1672,NIH National Institutes of Health - Miscellaneous,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,18223903,1917675,1766775
1673,NIH National Institutes of Health - Miscellaneous,Schools,School of Public Health,"Dean's Office, Public Health",Federal,0,1505968,0
1674,NIH National Institutes of Health - Miscellaneous,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,168348,0,0
1675,NIH National Institutes of Health - Miscellaneous,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,0,1097895,0
1676,NIH National Institutes of Health - Miscellaneous,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Federal,0,409528,0
1677,NIH National Institutes of Health - Miscellaneous,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,1234563,2462637,176545
1678,NIH National Library of Medicine,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,0,1516560
1679,NIH Office of the Director,Colleges,CNR College of Natural Resources,Null,Federal,600000,0,0
1680,NIH Office of the Director,Colleges,College of Chemistry,Chemistry Department,Federal,0,0,0
1681,NIH Office of the Director,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,1954558,0,0
1682,NIH Office of the Director,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,531872,600000,979500
1683,NIH Office of the Director,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Federal,-7699,-5005,0
1684,NIH Tetramer Facility,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,0,0
1685,NIST National Institute of Standards & Technology,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,-193415,144597,0
1686,NIST National Institute of Standards & Technology,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,0,0
1687,NIST National Institute of Standards & Technology,L&S College of Letters & Sciences,Undergraduate Division,Undergraduate & Interdisciplinary Studies,Federal,5500,9108,0
1688,NOAA National Oceanic & Atmospheric Administration,Colleges,College of Chemistry,Chemistry Department,Federal,353473,0,0
1689,NOAA National Oceanic & Atmospheric Administration,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,0,0,0
1690,NOAA National Oceanic & Atmospheric Administration,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Federal,0,447761,191754
1691,"NOVA Scientific, Inc.",Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Industry,255676,186605,-30000
1692,NRC Nuclear Regulatory Commission,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,300000,0,215000
1693,NRC Nuclear Regulatory Commission,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,319452,0,0
1694,NRC Nuclear Regulatory Commission,Colleges,College of Engineering,Nuclear Engineering,Federal,0,830000,400000
1695,NREL National Renewable Energy Lab (Midwest Res Inst),Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,0,0,-1
1696,NREL National Renewable Energy Lab (Midwest Res Inst),Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,0,0,0
1697,NSF National Science Foundation,Campus Support,Vice Chancellor - Administration,Information Services & Technology,Federal,0,0,399446
1698,NSF National Science Foundation,Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,Federal,0,0,0
1699,NSF National Science Foundation,Colleges,CNR College of Natural Resources,Energy & Resources Group,Federal,700971,0,1199914
1700,NSF National Science Foundation,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,2089403,85813,4079331
1701,NSF National Science Foundation,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Federal,49888,0,0
1702,NSF National Science Foundation,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,4187426,1090887,3029160
1703,NSF National Science Foundation,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Federal,873180,443814,716839
1704,NSF National Science Foundation,Colleges,College of Chemistry,Chemistry Department,Federal,3163122,5961824,4187286
1705,NSF National Science Foundation,Colleges,College of Engineering,Bioengineering,Federal,0,0,300000
1706,NSF National Science Foundation,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,1375240,798460,3490725
1707,NSF National Science Foundation,Colleges,College of Engineering,"Dean, Engineering",Federal,0,0,0
1708,NSF National Science Foundation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,6927344,11449653,9876491
1709,NSF National Science Foundation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,10829680,3443564,8148612
1710,NSF National Science Foundation,Colleges,College of Engineering,IEOR Industrial Engineering & Operations Research,Federal,38990,656345,1146651
1711,NSF National Science Foundation,Colleges,College of Engineering,Mechanical Engineering,Federal,2559864,2411317,3794974
1712,NSF National Science Foundation,Colleges,College of Engineering,MSE Materials Science & Engineering,Federal,0,384697,539513
1713,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Federal,2058212,749622,572376
1714,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Federal,16195,716824,1425295
1715,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,"Dean, Physical Sciences",Federal,1351692,607446,1399036
1716,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,2654658,1979972,1327285
1717,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Mathematics,Federal,4646638,6564752,3406950
1718,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,4909713,21321848,5397497
1719,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,257510,749999,694179
1720,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Anthropology,Federal,0,188789,0
1721,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Ethnic Studies,Federal,8836,0,0
1722,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Geography,Federal,498362,1177677,110392
1723,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Linguistics,Federal,179235,200000,13940
1724,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Political Science,Federal,0,17640,0
1725,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,300000,0,20390
1726,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Sociology,Federal,12000,22811,47204
1727,NSF National Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Federal,0,0,466631
1728,NSF National Science Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,1703078,3971552,1593334
1729,NSF National Science Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,300000,1458577
1730,NSF National Science Foundation,Other Academic,Graduate Division,Graduate Division Dean,Federal,0,21203336,20211824
1731,NSF National Science Foundation,Other Academic,Strategic Academic and Facilities Planning,BNNI Berkeley Nanoscience & Nanoengineering In..,Federal,325000,0,0
1732,NSF National Science Foundation,Schools,Graduate School of Education,Null,Federal,140879,2999748,0
1733,NSF National Science Foundation,Schools,Graduate School of Education,School of Education,Federal,275001,2398221,1077150
1734,NSF National Science Foundation,Schools,School of Information,iSchool School of Information,Federal,550000,0,551116
1735,NSF National Science Foundation,Schools,School of Law,Boalt Law School,Federal,0,291954,722286
1736,NSF National Science Foundation,Schools,School of Optometry,Null,Federal,635130,0,0
1737,NSF National Science Foundation,Schools,School of Optometry,Null,Federal,0,0,0
1738,NSF National Science Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,0,86544,1972763
1739,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,ARF Archaeological Research Facility,Federal,334815,28604,215555
1740,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Federal,0,0,75906
1741,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,Center for Integrative Planetary Science,Federal,0,397043,0
1742,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,1009571,274406,1635144
1743,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IGS Institute of Governmental Studies,Federal,0,0,0
1744,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Federal,446815,0,0
1745,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IIS Institute of International Studies,Federal,0,0,334897
1746,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Federal,446815,0,0
1747,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IIS Institute of International Studies,Federal,0,0,334897
1748,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Federal,0,0,0
1749,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,RAL Radio Astronomy Laboratory,Federal,41825,3080578,219199
1750,NSF National Science Foundation,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Federal,27169,1486436,1208249
1751,NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Federal,140124,344476,489678
1752,NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,EBI Energy Biosciences Institute,Federal,0,0,50000
1753,NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,History of Science & Technology,Federal,298725,0,0
1754,NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,Independent Research Programs,Federal,0,0,0
1755,NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,Simons Institute for the Theory of Computing,Federal,55000,115000,75000
1756,NSF National Science Foundation,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,11073966,4629765,5372273
1757,NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations,BNHM Admin Svcs,Federal,0,0,0
1758,NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations,Essig Museum of Entomology,Federal,7000,26506,4799
1759,NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations,Gump Research Field Station,Federal,173485,24871,0
1760,NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations,MVZ Museum of Vertebrate Zoology,Federal,0,824311,1453564
1761,NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations,Research Field Stations and Nature Reserves,Federal,4899996,94047,25000
1762,NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations,UC Museum of Paleontology,Federal,0,81541,594386
1763,NSF National Science Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations,University/Jepson Herbaria,Federal,750476,311403,239701
1764,NSF National Science Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,CPAM Center for Pure & Applied Mathematics,Federal,0,0,0
1765,NSF National Science Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Federal,866284,0,0
1766,NSF National Science Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBI Institute for Business Innovation,Federal,0,214998,449949
1767,NSF National Science Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,ICBS Institute for Cognitive and Brain Sciences,Federal,531482,1090370,0
1768,NSF National Science Foundation,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Federal,3326162,6165700,0
1769,NVIDIA Corporation,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Industry,0,0,1000000
1770,Nagoya University,Colleges,College of Chemistry,Chemistry Department,Not for Profit,0,0,0
1771,"Nanoviricides, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",Industry,130057,31297,0
1772,National Academies,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,0,0
1773,National Academies,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Not for Profit,0,0,0
1774,National Academy of Education,Schools,Graduate School of Education,Null,Not for Profit,0,0,0
1775,National Academy of Education,Schools,Graduate School of Education,School of Education,Not for Profit,0,55000,0
1776,National Academy of Sciences,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,0,30000,0
1777,National Academy of Sciences,Colleges,College of Engineering,Mechanical Engineering,Not for Profit,0,0,30000
1778,National Academy of Sciences,Colleges,College of Engineering,Nuclear Engineering,Not for Profit,75000,0,0
1779,National Academy of Sciences,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,45000
1780,National Academy of Sciences,Other Academic,Graduate Division,Graduate Division Dean,Not for Profit,0,0,24000
1781,National Academy of Sciences,Other Academic,Graduate Division,Graduate Division Fellowships,Not for Profit,0,0,22000
1782,National Archives and Records Administration,Other Academic,UC Library,University Library,Federal,0,0,0
1783,"National Bureau of Economic Research, Inc.",L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Not for Profit,0,0,32500
1784,"National Bureau of Economic Research, Inc.",Schools,Haas School of Business (Division),Haas Centers and Institutes,Not for Profit,0,124747,0
1785,"National Bureau of Economic Research, Inc.",Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Not for Profit,0,0,0
1786,National Cancer Institute of Canada,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Non Federal Governmental,0,634389,0
1787,National Commission for Scientific and Technological Research,Vice Chancellor - Research,Academic Research Units,CLAS Center for Latin American Studies,Non Federal Governmental,311755,145485,0
1788,National Film Preservation Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Linguistics,Not for Profit,0,6120,0
1789,National Football League Charities,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,100000,0,0
1790,National Forest Foundation,Vice Chancellor - Research,VC Research Museums & Field Stations,Research Field Stations and Nature Reserves,Not for Profit,0,0,630000
1791,National Geographic Society,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,0,50000,0
1792,National Geographic Society,Colleges,CNR College of Natural Resources,Energy & Resources Group,Not for Profit,100000,0,0
1793,National Geographic Society,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,12600,9530,0
1794,National Geographic Society,Vice Chancellor - Research,VC Research Museums & Field Stations,MVZ Museum of Vertebrate Zoology,Not for Profit,0,19921,25000
1795,National Geographic Society,Vice Chancellor - Research,VC Research Museums & Field Stations,University/Jepson Herbaria,Not for Profit,0,0,0
1796,National Institute for Materials Science,Colleges,College of Chemistry,Chemistry Department,Not for Profit,399698,0,0
1797,National Institute of Genetics,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
1798,"National Math and Science Initiative, Inc.",Schools,Graduate School of Education,School of Education,Not for Profit,0,0,400000
1799,National Multiple Sclerosis Society,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,350772,52995
1800,"National Niemann-Pick Disease Foundation, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,90000
1801,National Opinion Research Center,L&S College of Letters & Sciences,Division of Social Sciences,Sociology,Industry,0,0,0
1802,"National Partnership for Women & Families, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,0,0,0
1803,National Physical Science Consortium,Other Academic,Graduate Division,Graduate Division Fellowships,Not for Profit,0,0,60000
1804,National Polytechnic Institute of Toulouse,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,0,0,0
1805,National Research Council of Canada,Other Academic,Graduate Division,Graduate Division Dean,Non Federal Governmental,0,24000,32000
1806,"National School Foundation Association, Inc.",Schools,School of Law,Boalt Law School,Not for Profit,20000,0,0
1807,National Service for Industrial Training,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,25000
1808,"National Tuberous Sclerosis Association, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,150000
1809,National Writing Project Corp,Schools,Graduate School of Education,Null,Not for Profit,10000,10000,0
1810,National Writing Project Corp,Schools,Graduate School of Education,School of Education,Not for Profit,0,0,4800
1811,Natural Resources Defense Council,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Not for Profit,0,0,30000
1812,Nature Conservancy,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,0,0,0
1813,Nature Conservancy,Colleges,CNR College of Natural Resources,Energy & Resources Group,Not for Profit,0,0,45000
1814,Nature Conservancy,Schools,School of Law,Boalt Law School,Not for Profit,0,0,100000
1815,Nature Conservancy,Vice Chancellor - Research,VC Research Museums & Field Stations,Research Field Stations and Nature Reserves,Not for Profit,0,15000,0
1816,Netherlands Organization for Scientific Research,Colleges,College of Chemistry,Chemistry Department,Not for Profit,341384,0,0
1817,Netherlands Organization for Scientific Research,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,150654,0
1818,Netherlands Organization for Scientific Research,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,83779,0,0
1819,Netherlands Organization for Scientific Research,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,0,168268,145291
1820,Netherlands Organization for Scientific Research,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Not for Profit,0,0,0
1821,Netherlands Organization for Scientific Research,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Not for Profit,0,0,0
1822,Netherlands Organization for Scientific Research,Vice Chancellor - Research,VC Research Museums & Field Stations,Essig Museum of Entomology,Not for Profit,125587,0,0
1823,New Jersey Department of Education,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Non Federal Governmental,0,0,35549
1824,"New Profit, Inc.",Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Not for Profit,179976,239968,439967
1825,"New Vision Microelectronics, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,250000
1826,New York Stem Cell Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,1500000
1827,New York University,L&S College of Letters & Sciences,Division of Social Sciences,Political Science,Not for Profit,0,0,169217
1828,"Newomics, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Industry,0,0,494601
1829,Next 10,Schools,School of Law,Boalt Law School,Not for Profit,0,69000,158609
1830,Ninyo & Moore Geotechnical and Environmental Sciences Consultants,Colleges,College of Engineering,Civil & Environmental Engineering,Industry,0,120000,110166
1831,Nokia Mobile Phones Inc.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,100000,0,0
1832,Nokia Mobile Phones Inc.,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,0,0,0
1833,Nokia USA Inc.,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,0,0,0
1834,North Atlantic Treaty Organization,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Non Federal Governmental,4950,0,25750
1835,North Carolina State University,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,0,443654
1836,North Carolina State University,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,0
1837,Northern California Institute for Research and Education,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,29949,1173060,64079
1838,Northern California Institute for Research and Education,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,88325,0
1839,Northrop Grumman Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,250000,0,0
1840,Northwest Area Foundation,Other Academic,Strategic Academic and Facilities Planning,Haas Diversity Research Center (HIFIS Haas Institute),Not for Profit,100000,0,0
1841,Northwestern University,Colleges,College of Engineering,Bioengineering,Not for Profit,0,142238,121295
1842,Northwestern University,Schools,Graduate School of Education,Null,Not for Profit,112111,0,114897
1843,Northwestern University,Schools,School of Optometry,Null,Not for Profit,0,0,0
1844,Northwestern University,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,100000
1845,Northwestern University,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Not for Profit,0,148732,0
1846,Norwegian Marine Technology Research Institute,Colleges,College of Engineering,Civil & Environmental Engineering,Industry,163851,0,0
1847,Novartis Institutes for BioMedical Research,Colleges,College of Engineering,Bioengineering,Industry,377099,0,0
1848,Novartis Institutes for BioMedical Research,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
1849,ONDRAF/NIRAS,Colleges,College of Engineering,Nuclear Engineering,Non Federal Governmental,0,724938,0
1850,Oak Foundation,Schools,School of Law,Boalt Law School,Not for Profit,0,0,450000
1851,Oak Ridge National Laboratory,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,0,0,0
1852,Oak Ridge National Laboratory,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,20000,0
1853,Oak Ridge National Laboratory,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,0,0
1854,Oak Ridge National Laboratory,Colleges,College of Engineering,Mechanical Engineering,Federal,0,819421,0
1855,Oak Ridge National Laboratory,Colleges,College of Engineering,Nuclear Engineering,Federal,61500,50000,236271
1856,Oak Ridge National Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,0,101724,101854
1857,Oak Ridge National Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,0,0
1858,Oak Ridge National Laboratory,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Federal,151747,0,0
1859,Oakland Raiders,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Industry,0,0,0
1860,"ObjectVideo, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,692232,0,0
1861,Office for the Coordination of Social Policies,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Non Federal Governmental,0,0,499810
1862,Ohio State University (Incl. Research Foundation),Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,9048,18758,7600
1863,Ohio State University (Incl. Research Foundation),Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,538437,0
1864,Ohio State University (Incl. Research Foundation),Schools,School of Public Health,Null,Not for Profit,0,0,0
1865,Ohio University,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,0,0,0
1866,Oklahoma State University,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,0,870000,0
1867,OncoSec Medical Inc.,Colleges,College of Engineering,Bioengineering,Industry,0,0,15650
1868,"Onyx Pharmaceuticals, Inc.",Schools,Haas School of Business (Division),Haas Centers and Institutes,Industry,0,126000,0
1869,Open Society Foundations,Other Academic,Strategic Academic and Facilities Planning,Haas Diversity Research Center (HIFIS Haas Institute),Not for Profit,0,0,25000
1870,Open Society Foundations,Schools,School of Law,Boalt Law School,Not for Profit,0,305000,100000
1871,Open Society Institute,Schools,School of Law,Null,Not for Profit,115000,0,0
1872,Open Society Institute,Schools,School of Law,Boalt Law School,Not for Profit,0,185000,0
1873,Open Society Institute,Vice Chancellor - Research,Academic Research Units,CLAS Center for Latin American Studies,Not for Profit,25000,0,0
1874,Oregon Department of Transportation,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Non Federal Governmental,0,435000,0
1875,Oregon Health Sciences University,Colleges,College of Chemistry,Chemistry Department,Not for Profit,62886,0,0
1876,Oregon Health Sciences University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,60395,57896,0
1877,Oregon Health Sciences University,Schools,School of Public Health,Null,Not for Profit,0,0,0
1878,Oregon Health Sciences University,Vice Chancellor - Research,Vice Chancellor for Research ORUs,Functional Genomics Laboratory,Not for Profit,-100000,0,0
1879,Oregon State University,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,0,98055
1880,Oregon State University,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,199599,0,0
1881,Oregon State University,Colleges,College of Chemistry,Chemistry Department,Not for Profit,0,0,0
1882,Oregon State University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,111000,111000,244774
1883,Oregon Sweet Cherry Commission,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Non Federal Governmental,0,4900,26118
1884,"Oregon, State of",Colleges,CNR College of Natural Resources,Null,Non Federal Governmental,10000,0,0
1885,"Oregon, State of",Schools,Graduate School of Education,School of Education,Non Federal Governmental,0,149000,29993
1886,Oro Loma Sanitary District,Colleges,College of Engineering,Civil & Environmental Engineering,Non Federal Governmental,0,240000,-60000
1887,Osaka University,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
1888,"Ostendo Technologies, Inc.",Schools,School of Optometry,Null,Industry,97775,0,0
1889,"Ostendo Technologies, Inc.",Schools,School of Optometry,Null,Industry,-511456,0,0
1890,Overture Financial LLC,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Industry,0,0,83496
1891,Oxford Policy Management,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Industry,0,0,221552
