Sponsor,Control Unit,Division,Department,Sponsor Class,2014,2015,2016
"BP Group (BP America, BP Exploration, British Petroleum)",Vice Chancellor - Research,Vice Chancellor for Research ORUs,Null,Industry,$0 ,$0 ,$0 
BURL Concepts Inc.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,nan,"$675,000 ","($540,000)"
Bangladesh Rehabilitation Assistance Committee USA,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Not for Profit,"$165,200 ","$71,713 ","$93,743 "
"Bank of America Charitable Foundation, Inc.",Schools,School of Law,nan,Not for Profit,"$400,000 ",nan,"$275,000 "
Barbara Ann Karmanos Cancer Institute,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,nan,nan
Battelle Memorial Institute,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,"($50,000)",nan,"($33,534)"
Battelle Memorial Institute,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$43,087 ",$0 ,nan
Battelle Memorial Institute,Colleges,College of Engineering,Nuclear Engineering,Not for Profit,nan,$0 ,nan
Bay Area Air Quality Management District,Colleges,CNR College of Natural Resources,Energy & Resources Group,Non Federal Governmental,nan,"$60,000 ",nan
Bay Area Air Quality Management District,Colleges,Chemistry Department,Chemistry Department,Non Federal Governmental,"$103,176 ",nan,"$64,998 "
Bay Area Air Quality Management District,Colleges,College of Engineering,Civil & Environmental Engineering,Non Federal Governmental,"$68,000 ","$65,000 ","$31,004 "
Bay Area Air Quality Management District,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Non Federal Governmental,$0 ,nan,nan
Bay Area Environmental Research Institute,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$98,412 ",$0 ,nan
Bay Area Rapid Transit,Colleges,College of Engineering,Civil & Environmental Engineering,Non Federal Governmental,nan,nan,"$99,369 "
Bay Area Rapid Transit,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Non Federal Governmental,nan,"$300,000 ",nan
Bay Area Research Corporation,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Industry,"$99,961 ","$51,830 ",nan
Bay Area Toll Authority,Colleges,College of Engineering,Civil & Environmental Engineering,Non Federal Governmental,nan,nan,"$100,000 "
Bay Areas Urban Area Security Initiative,Campus Support,Vice Chancellor - Administration,Public Safety,Not for Profit,"$327,226 ","$30,145 ",nan
Bayer AG,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Industry,nan,"$28,223 ",nan
Bayer AG,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,"$60,000 ",nan,nan
Baylor College of Medicine,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,"$187,138 ","$86,386 ",nan
Baylor College of Medicine,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,$0 ,nan,nan
Baylor College of Medicine,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,$0 ,$0 
Bechtel Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,"$3,000 ",nan,nan
Beijing Jingyu Education Development Promotion Association,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Not for Profit,nan,"$40,000 ",nan
Ben Gerwick,College of Engineering,College of Engineering,EERC Earthquake Engineering Research Center,Industry,"$10,000 ",nan,nan
Ben-Gurion University of the Negev,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,nan,nan
"Benchling, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,nan,nan,"$5,000 "
"Benson Hill Biosystems, Inc.",Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Industry,nan,"$72,000 ",nan
Berkeley Education Alliance for Research in Singapore,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,$0 ,"$6,021,420 ",$0 
"Beta Squared, Inc (incl Photronics, Inc)",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,nan,nan,"$140,000 "
Beth Israel Deaconess Medical Center,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,$0 ,nan
"Bethyl Laboratories, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,nan,$0 ,nan
Bezos Family Foundation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,ICBS Institute for Cognitive and Brain Sciences,Not for Profit,nan,"$99,399 ",nan
Bill & Melinda Gates Foundation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,$0 ,nan,nan
Bill & Melinda Gates Foundation,Schools,Graduate School of Education,Null,Not for Profit,$0 ,$0 ,nan
Bill & Melinda Gates Foundation,Schools,Graduate School of Education,School of Education,Not for Profit,nan,"$989,331 ",$0 
Bill & Melinda Gates Foundation,Schools,Haas School of Business (Division),Haas Centers and Institutes,Not for Profit,nan,nan,"$200,000 "
Bill & Melinda Gates Foundation,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,$0 ,nan,"$2,331,026 "
Bill & Melinda Gates Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,"$11,440 ","$200,000 ","$459,757 "
Binghamton University,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,"$65,000 ","$139,750 "
Binghamton University,Colleges,College of Engineering,MSE Materials Science & Engineering,Not for Profit,nan,nan,"$131,250 "
"BioInspira, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,nan,nan,"$112,335 "
"BioMarin Pharmaceuticals, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,"$60,000 ",nan,nan
"BioTime, Inc.",Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Industry,nan,nan,"$99,000 "
Biolitec AG,Schools,School of Public Health,"Dean's Office, Public Health",Industry,"$74,000 ",nan,nan
Biomax Informatics AG,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,"$9,000 ",nan,nan
"Biota Biosciences, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,"$3,000 ",nan,nan
Blue Shield of California Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,nan,nan,"$66,718 "
Booz Allen Hamilton Inc.,Colleges,College of Engineering,Civil & Environmental Engineering,Industry,"$23,104 ",$0 ,"($4,363)"
Booz Allen Hamilton Inc.,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,"$48,795 ",nan,nan
Booz Allen Hamilton Inc.,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Industry,nan,nan,"$284,615 "
Boston Children's Hospital,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,$0 ,nan
Boston University,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,$0 
Boston University,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,"$164,777 ","$19,984 ",$0 
Boston University,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,nan,nan,"$24,720 "
Boston University,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,nan,nan,"$146,785 "
Brain Research Foundation,Colleges,Chemistry Department,Chemistry Department,Not for Profit,"$50,000 ",nan,nan
Brain Research Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,"$50,000 ","$80,000 ",nan
Brain and Behavior Research Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,"$60,000 ",nan,$0 
Brain and Behavior Research Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,"$70,000 "
Braskem,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,"$10,000 ",nan,nan
Breakthrough Prize Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Not for Profit,nan,nan,"$4,470,752 "
Brigham and Women's Hospital,Colleges,College of Engineering,Bioengineering,Not for Profit,"$73,215 ","$5,052 ",nan
Brigham and Women's Hospital,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,"$80,850 ","$65,214 ","$70,553 "
Brigham and Women's Hospital,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,nan,"$83,000 ",nan
Broad Institute Inc.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,"$778,316 ",$1 
Broad Medical Research Institute,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,$0 ,nan,nan
"Brookhaven Science Associates, LLC (Brookhaven National Lab)",Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,"$385,559 ","$845,441 ","$418,320 "
Brown University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$440,220 ","$95,000 ","$190,000 "
Buck Institute for Research on Aging,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,"$171,452 ","$193,693 ","$336,079 "
Burroughs Wellcome Fund,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,nan,$0 ,$0 
Burroughs Wellcome Fund,Colleges,Chemistry Department,Chemistry Department,Not for Profit,"$30,000 ",$0 ,nan
Burroughs Wellcome Fund,Colleges,College of Engineering,Mechanical Engineering,Not for Profit,nan,nan,"$5,240 "
Burroughs Wellcome Fund,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,nan,nan,"$140,000 "
Burroughs Wellcome Fund,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,"$536,000 ","$1,000 "
Burroughs Wellcome Fund,Schools,School of Optometry,Null,Not for Profit,nan,"$140,000 ",$0 
Burroughs Wellcome Fund,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,"$70,000 ","$140,000 ","$8,000 "
C&A Foundation,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,nan,nan,"$151,451 "
CHDI Foundation/High Q Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,"$102,558 ",nan
CPWR- The Center for Construction Research and Training,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,"$135,000 ","$359,808 ","$415,933 "
CPWR- The Center for Construction Research and Training,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,"$105,544 ",nan,nan
CS Fund,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,nan,nan,"$30,000 "
"Cairn Biosciences, Inc.",Colleges,Chemistry Department,Chemistry Department,Industry,nan,nan,"$63,701 "
California Air Resources Board,Colleges,CNR College of Natural Resources,Energy & Resources Group,Non Federal Governmental,"$35,000 ",nan,"$30,000 "
California Air Resources Board,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Non Federal Governmental,"$500,000 ",$0 ,"$20,000 "
California Air Resources Board,Colleges,College of Engineering,Civil & Environmental Engineering,Non Federal Governmental,"$400,000 ",nan,"$60,000 "
California Air Resources Board,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Non Federal Governmental,$0 ,"$49,996 ",nan
California Air Resources Board,Schools,Haas School of Business (Division),Haas Centers and Institutes,Non Federal Governmental,$0 ,"$16,663 ",nan
California Air Resources Board,Schools,School of Public Health,Null,Non Federal Governmental,"$105,221 ",$0 ,nan
California Air Resources Board,Schools,School of Public Health,"Dean's Office, Public Health",Non Federal Governmental,"$50,000 ","$84,914 ",nan
California Air Resources Board,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Non Federal Governmental,"($30,729)",nan,"$700,000 "
California Air Resources Board,Vice Chancellor - Research,Academic Research Units,IGS Institute of Governmental Studies,Non Federal Governmental,"$649,264 ",nan,$0 
California Air Resources Board,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Non Federal Governmental,nan,$0 ,$0 
California Air Resources Board,Vice Chancellor - Research,Vice Chancellor for Research ORUs,UC Energy Institute,Non Federal Governmental,$0 ,nan,nan
California Association of Sanitation Agencies,Schools,School of Law,nan,Non Federal Governmental,nan,"$130,000 ",$0 
California Breast Cancer Research Program,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",University of California,"$833,945 ",nan,nan
California Breast Cancer Research Program,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,University of California,nan,$0 ,nan
California Breast Cancer Research Program,Schools,School of Public Health,Null,University of California,$0 ,$0 ,$0 
California Breast Cancer Research Program,Schools,School of Public Health,"Dean's Office, Public Health",University of California,$0 ,nan,nan
California Breast Cancer Research Program,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,University of California,nan,"$1,301,367 ","$669,011 "
California Cherry Marketing Program,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$37,431 ","$35,406 ","$11,685 "
California Coastal Commission,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Non Federal Governmental,nan,"$36,277 ",nan
California Community Colleges,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Non Federal Governmental,nan,"$1,144,580 ","$1,144,580 "
California Delta Stewardship Council,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Non Federal Governmental,$0 ,nan,nan
California Department of Conservation,College of Engineering,College of Engineering,EERC Earthquake Engineering Research Center,Non Federal Governmental,nan,"$25,000 ",nan
California Department of Education,Schools,Graduate School of Education,Null,Non Federal Governmental,"$1,695,115 ",nan,nan
California Department of Education,Schools,Graduate School of Education,Null,Non Federal Governmental,"$1,613,506 ","($40,000)","$48,686 "
California Department of Education,Schools,Graduate School of Education,School of Education,Non Federal Governmental,"($10,780)","$2,497,000 ","$2,831,138 "
California Department of Education,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Non Federal Governmental,$0 ,nan,nan
