,Sponsor,Control Unit,Division,Department,class_clean,2014,2015,2016
2098,Shinnyo-En Foundation,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,Dean of Students,Not for Profit,85807,76900,75000
2099,"Shoo the Flu, LLC",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Industry,390168,0,244167
2100,Siam Cement Company,Colleges,College of Engineering,Civil & Environmental Engineering,Industry,0,140307,0
2101,Siam Cement Company,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Industry,149541,0,0
2102,Siemens AG,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,0,0,0
2103,Siemens AG,Colleges,College of Engineering,Mechanical Engineering,Industry,470509,0,0
2104,Siemens AG,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,240000,23086,0
2105,Siemens Corporation,Colleges,College of Engineering,Civil & Environmental Engineering,Industry,0,0,9200
2106,Siemens Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,400691,140000
2107,Siemens Corporation,Schools,School of Information,iSchool School of Information,Industry,100000,0,0
2108,Siemens Corporation,Vice Chancellor - Research,Academic Research Units,Data Science Institute,Industry,0,1250000,-600000
2109,"Siemens Medical Solutions USA, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,0
2110,Sierra Club Foundation,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,0,0,0
2111,Sierra Club Foundation,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,0,0,62950
2112,Sierra Health Foundation,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,24852,0,0
2113,Sigma Delta Epsilon Graduate Women in Science,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,6512,4305
2114,Sigma Space Corporation,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Industry,28938,0,0
2115,Sigrid Rausing Trust,Schools,School of Law,Null,Not for Profit,31135,0,0
2116,Sigrid Rausing Trust,Schools,School of Law,Boalt Law School,Not for Profit,0,132530,374028
2117,Silent Spring Institute,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,-8390,0,0
2118,Silicon Valley Community Foundation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,102500,100000
2119,Silicon Valley Community Foundation,Other Academic,Graduate Division,Graduate Division Dean,Not for Profit,100000,0,0
2120,Silicon Valley Community Foundation,Other Academic,VP Academic Planning & Fac,Blum Center for Developing Economies,Not for Profit,0,0,100000
2121,Silicon Valley Community Foundation,Vice Chancellor - Research,Academic Research Units,IGS Institute of Governmental Studies,Not for Profit,0,0,40000
2122,Silvaco International,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,400000
2123,Silver Lake Research Corporation,Schools,School of Public Health,Null,Industry,200000,0,0
2124,Skoll Global Threats Fund,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,0,34000,0
2125,SkySight Technologies LLC,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,90000
2126,Smart Sparrow LLC,Schools,Graduate School of Education,School of Education,Industry,0,0,88800
2127,Smithsonian - Office of Fellowships & Grants,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,650031,0
2128,Smithsonian - Office of Fellowships & Grants,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,0,0
2129,Smithsonian Institution,Colleges,College of Chemistry,Chemistry Department,Federal,554023,0,-133456
2130,Smithsonian Institution,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Federal,304899,282833,290249
2131,Smithsonian Institution,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,110589,109717
2132,Smithsonian Institution,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Federal,1771590,13039722,76095
2133,"Social Impact, Inc.",Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Industry,27389,22343,42349
2134,Society for Conservation Biology,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,169827,0
2135,Society for Study of Evolution,Vice Chancellor - Research,VC Research Museums & Field Stations ,MVZ Museum of Vertebrate Zoology,Not for Profit,2160,0,0
2136,Society of Actuaries,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Not for Profit,0,0,70000
2137,Society of Family Planning,Schools,School of Public Health,Null,Not for Profit,0,0,0
2138,Society of Family Planning,Schools,School of Social Welfare,Dept of Social Welfare,Not for Profit,0,1029,150000
2139,Society of Systematic Biologists,Vice Chancellor - Research,VC Research Museums & Field Stations ,Essig Museum of Entomology,Not for Profit,2996,0,0
2140,Society of Woman Geographers,Other Academic,Graduate Division,Graduate Division Dean,Not for Profit,12000,12000,8000
2141,SolarAid,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,0,124560,0
2142,Solutions Journalism Network Inc.,Schools,Goldman School of Public Policy,GSPP Programs & Research,Not for Profit,0,17716,0
2143,Sonoma County Water Agency,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Non Federal Governmental,0,120000,0
2144,Sony Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,375000,0,-125000
2145,Soonchunhyang University,Colleges,College of Engineering,Nuclear Engineering,Not for Profit,0,0,30000
2146,South Carolina Commission on Higher Education,Colleges,College of Engineering,Bioengineering,Non Federal Governmental,0,823844,0
2147,South Carolina Commission on Higher Education,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Non Federal Governmental,0,3413049,1144214
2148,South Carolina Commission on Higher Education,Colleges,College of Engineering,IEOR Industrial Engineering & Operations Research,Non Federal Governmental,0,0,605266
2149,South Carolina Commission on Higher Education,Vice Chancellor - Research,VC Res Other Research Units,CITRIS Ctr for Info Tech Research in the Interest of Society,Non Federal Governmental,0,0,821241
2150,South Carolina Commission on Higher Education,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Non Federal Governmental,0,0,511389
2151,Southern California Coastal Water Research Project,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Non Federal Governmental,207609,0,0
2152,Southern California Coastal Water Research Project,Schools,School of Public Health,"Dean's Office, Public Health",Non Federal Governmental,192282,412251,0
2153,Southern California Edison Company,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Industry,0,39000,18000
2154,Southern California Edison Company,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Industry,0,0,70000
2155,Southern Methodist University,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Not for Profit,0,0,53025
2156,Southwest Research Institute,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Not for Profit,49500,62299,0
2157,Southwest Research Institute,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,0,0,99953
2158,Southwest Research Institute,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,0,0,446134
2159,"Southwest Sciences, Inc.",L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Industry,35500,0,0
2160,Spanish National Research Council,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Non Federal Governmental,0,26055,0
2161,Spencer Foundation,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,49988,0,0
2162,Spencer Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Sociology,Not for Profit,0,0,149936
2163,Spencer Foundation,Schools,Graduate School of Education,Null,Not for Profit,38950,0,0
2164,Spencer Foundation,Schools,Graduate School of Education,School of Education,Not for Profit,22750,50000,50000
2165,Spencer Foundation,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Not for Profit,0,49705,0
2166,Spencer Foundation,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Not for Profit,49996,0,0
2167,St Jude Childrens Research Hospital,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
2168,St Jude Childrens Research Hospital,Schools,School of Optometry,nan,Not for Profit,0,0,0
2169,St Jude Childrens Research Hospital,Schools,School of Public Health,Null,Not for Profit,27199,0,0
2170,Stanford University,Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,Not for Profit,0,57728,60146
2171,Stanford University,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,0,0,0
2172,Stanford University,Colleges,College of Chemistry,Chemistry Department,Not for Profit,110750,125000,0
2173,Stanford University,Colleges,College of Engineering,Bioengineering,Not for Profit,0,0,0
2174,Stanford University,Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,49846,131338,335594
2175,Stanford University,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,252897,2300544,383187
2176,Stanford University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,982444,1038876,1673302
2177,Stanford University,Colleges,College of Engineering,Mechanical Engineering,Not for Profit,124095,166602,359803
2178,Stanford University,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Not for Profit,21000,0,0
2179,Stanford University,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Not for Profit,0,0,13182
2180,Stanford University,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,27699,0,0
2181,Stanford University,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
2182,Stanford University,Schools,Graduate School of Education,Null,Not for Profit,0,0,0
2183,Stanford University,Schools,Graduate School of Education,School of Education,Not for Profit,10000,0,0
2184,Stanford University,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,344871,298133,79535
2185,Stanford University,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,0,0,31094
2186,Stanford University,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,830037,223046,168229
2187,Stanley Smith Horticultural Trust,Vice Chancellor - Research,VC Research Museums & Field Stations ,Botanical Garden,Not for Profit,0,0,20000
2188,"Stantec Consulting Ltd (incl Engineering,Architecture)",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Industry,0,60000,0
2189,State Street Corporation,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Industry,0,695000,0
2190,State Street Corporation,Vice Chancellor - Research,Academic Research Units,Data Science Institute,Industry,0,625000,0
2191,State University of New York,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,126174,0,0
2192,State University of New York,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Not for Profit,0,390000,0
2193,State University of New York,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,128041,0,0
2194,State and Federal Contractors Water Agency,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Non Federal Governmental,0,77075,0
2195,State of British Columbia (incl BC Bldgs Health Serv Auth),Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Non Federal Governmental,0,0,75000
2196,State of California Attorney General,Schools,School of Public Health,"Dean's Office, Public Health",Non Federal Governmental,212000,0,0
2197,StemCell Technologies,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
2198,"Stephen D Bechtel, Jr Foundation",Schools,School of Law,Boalt Law School,Not for Profit,0,0,20000
2199,"Stephen D Bechtel, Jr Foundation",Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Not for Profit,150000,200000,0
2200,Stephen F. Austin State University,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,41080,0,0
2201,Steward Research and Specialty Projects Corporation,Vice Chancellor - Research,Vice Chancellor for Research ORUs,CPAM Center for Pure & Applied Mathematics,Industry,76635,0,0
2202,Stifterverband fur die Deutsch,Vice Chancellor - Research,Academic Research Units,Institute of European Studies,Not for Profit,0,0,0
2203,Stone Foundation,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,75000,0,0
2204,Stuart Foundations,Schools,Graduate School of Education,School of Education,Not for Profit,0,0,15000
2205,Stuart Foundations,Schools,School of Law,Null,Not for Profit,60000,0,0
2206,Stuart Foundations,Schools,School of Social Welfare,Null,Not for Profit,0,0,0
2207,Stuart Foundations,Schools,School of Social Welfare,Social Welfare,Not for Profit,75000,0,0
2208,"Sumitomo Industries, Ltd",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,0
2209,"Summit Charitable Foundation, Inc.",Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Not for Profit,0,0,17108
2210,"Sun BioTools, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,1000,2000,0
2211,Sunchon National University,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,-45388,0,0
2212,Surdna Foundation,Other Academic,Strategic Academic and Facilities Planning,Haas Diversity Research Center (HIFIS Haas Institute),Not for Profit,0,0,45000
2213,Surdna Foundation,Vice Chancellor - Research,Academic Research Units,IGS Institute of Governmental Studies,Not for Profit,0,0,100000
2214,Susan G. Komen Breast Cancer Foundation (incl. Susan G. Komen for the Cure),L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
2215,Susan G. Komen Breast Cancer Foundation (incl. Susan G. Komen for the Cure),Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,0,0,405000
2216,Sustainable Sciences Institute,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,-2814,-266,0
2217,Sutter East Bay Medical Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,7000,0,0
2218,Sutter West Bay Hospitals,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,0,0,0
2219,Swiss Federal Institute of Technology in Zurich,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Non Federal Governmental,0,0,0
2220,Swiss Federal Institute of Technology in Zurich,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Non Federal Governmental,0,0,48694
2221,Switzerland Federal Department of Foreign Affairs,L&S College of Letters & Sciences,Undergraduate Division,UGIS IAS Department,Non Federal Governmental,0,8500,0
2222,Synopsys Inc.,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,400000
2223,Synthace Ltd,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,1000,2000,0
2224,"Synthetic Genomics, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,34000,0,0
2225,Syracuse University,L&S College of Letters & Sciences,Division of Social Sciences,Political Science,Not for Profit,3780,0,0
2226,TATA Consultancy Services,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,0,1502000,0
2227,TET Systems Holding GMBH & CO. KG,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Industry,0,0,0
2228,TET Systems Holding GMBH & CO. KG,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
2229,Taconic,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
2230,Taipei Economic and Cultural Office,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Non Federal Governmental,0,0,240000
2231,Taiwan Foundation for Democracy,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Not for Profit,0,0,4000
2232,Taiwan Semiconductor Manufacturing Company. Ltd,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,250000,0,0
2233,Taiwan Semiconductor Manufacturing Company. Ltd,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,1100000
2234,"Taiwan, Government of (Republic of China)",Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Non Federal Governmental,50000,0,-169206
2235,"Takeda Vaccines, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",Industry,0,400074,0
2236,"Tate Access Floors, Inc.",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Industry,-105000,0,0
2237,Taylor Devices,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Industry,3000,0,0
2238,Tecnion-Israel Institute of Techology,Schools,School of Law,Boalt Law School,Not for Profit,51000,60000,60000
2239,Teichert Aggregates,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,40500,0,0
2240,Tejon Ranch Conservancy,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,75000,0,0
2241,"Teledyne Technologies Inc (RD Instruments, Microwave, etc)",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,100000,0,0
2242,"Teledyne Technologies Inc (RD Instruments, Microwave, etc)",Colleges,College of Engineering,MSE Materials Science & Engineering,Industry,130000,0,0
2243,Temple University,L&S College of Letters & Sciences,Division of Social Sciences,Linguistics,Not for Profit,0,16670,36538
2244,Tennessee State University,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,0,0,0
2245,"TeselaGen Biotechnology, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,-18000,0,0
2246,Texas A&M University,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,600709,0,0
2247,Texas A&M University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,-7819,0,0
2248,Texas A&M University,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,0,60013,0
2249,Texas A&M University,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,234999,0,0
2250,Texas Instruments,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,340000,0,210000
2251,The American-Israeli Cooperative Enterprise,Schools,School of Law,Boalt Law School,Not for Profit,60000,0,0
2252,The Boeing Company,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,207393
2253,The Discount Foundation,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,52000,50000,0
2254,The Educational Advancement Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,"Dean, Physical Sciences",Not for Profit,0,0,0
2255,The Foundation Fighting Blindness,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,396429,0
2256,The Foundation Fighting Blindness,Schools,School of Optometry,nan,Not for Profit,299678,0,0
2257,The Foundation Fighting Blindness,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,400000,0,0
2258,The Foundation Fighting Blindness,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,0
2259,The George E. Hewitt Foundation for Medical Research,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,21444
2260,The Gilbert and Jacki Cisneros Foundation,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Not for Profit,30000,0,0
2261,The Government of the Republic of Singapore,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Non Federal Governmental,0,0,0
2262,The Henry M. Jackson Foundation for the Advancement of Military Medicine,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,59215
2263,The Hilda and Preston Davis Foundation,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,0,0,0
2264,The Kavli Foundation,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,100000,0,100000
2265,The Laurasian Institution Inc.,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Not for Profit,0,423442,0
2266,The Lia Fund,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,0,0
2267,"The Mitchell Group, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Industry,0,277722,264239
2268,The NEA Foundation,Schools,School of Law,Boalt Law School,Not for Profit,0,0,0
2269,The Orthopterists' Society,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,0,0,1531
2270,The Patient-Centered Outcomes Research Institute,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,946546,2015099,0
2271,The Peggy and Jack Baskin Foundation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,125000,0
2272,The Rathmann Family Foundation,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,119827,330000
2273,The Research Corporation of the University of Hawaii,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Non Federal Governmental,0,187242,0
2274,The Safeway Foundation,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,70965,0,0
2275,The Scripps Research Institute,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,401986,0,0
2276,The Shurl and Kay Curci Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,200000,0,200000
2277,The Sperry Fund,Other Academic,Graduate Division,Graduate Division Dean,Not for Profit,12000,14115,25500
2278,"The Task Force for Global Health, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,0,0,31609
2279,The Teagle Foundation,Other Academic,Graduate Division,Graduate Division Dean,Not for Profit,0,0,0
2280,The Technical University of Denmark,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,0,0,0
2281,The Tobin Project,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Not for Profit,0,0,2770
2282,The Tobin Project,L&S College of Letters & Sciences,Division of Social Sciences,Sociology,Not for Profit,0,0,2000
2283,The Walton Family Foundation,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Not for Profit,0,0,0
2284,The Yield Book Inc.,Schools,Haas School of Business (Division),Null,Industry,0,0,0
2285,Think Now Inc.,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Industry,0,0,251988
2286,Tides Center,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,0,55000
2287,Tides Center,Schools,School of Law,Null,Not for Profit,50391,0,0
2288,Tides Center,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Not for Profit,0,60000,0
2289,Tides Foundation,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,30000,0,30000
2290,Tides Foundation,Schools,School of Law,Null,Not for Profit,0,25000,0
2291,Tides Foundation,Schools,School of Law,Boalt Law School,Not for Profit,0,50000,50000
2292,Tides Foundation,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Not for Profit,0,0,30000
2293,Tinker Foundation Inc.,Vice Chancellor - Research,Academic Research Units,CLAS Center for Latin American Studies,Not for Profit,0,0,45000
2294,Tokyo Institute of Technology,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,3000,3000,3000
2295,Tokyo Institute of Technology,Schools,School of Public Health,Null,Not for Profit,0,0,0
2296,Tokyo Women's Medical University,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
2297,Toshiba Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,250000
2298,Toshiba Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,175000,175000,175000
2299,"Tourette Syndrome Association, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,40000
2300,Toyota Motor Corporation (incl Engineer & Mfg North America),Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,261480,312080,825000
2301,Toyota Motor Corporation (incl Engineer & Mfg North America),Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Industry,0,0,1500000
2302,Translume Inc.,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Industry,0,0,70000
2303,Transportation Research Board,Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,0,0,10000
2304,Tulane University,Schools,School of Public Health,Null,Not for Profit,0,0,0
2305,Twist Bioscience,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,0,9000,0
2306,Two Blades Foundation,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,750000,374301,165188
2307,UBS Optimus Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Anthropology,Not for Profit,0,0,0
2308,UBS Optimus Foundation,Schools,School of Public Health,Null,Not for Profit,344213,0,0
2309,UBS Optimus Foundation,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,0,0,0
2310,UC Agriculture and Natural Resources,Colleges,CNR College of Natural Resources,CNR Office of the Dean,University of California,0,902888,0
2311,UC Agriculture and Natural Resources,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",University of California,49500,36822,211376
2312,UC Agriculture and Natural Resources,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,University of California,1500,0,0
2313,UC Agriculture and Natural Resources,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,University of California,0,0,114217
2314,UC CRCC  Cancer Research Coordinating Committee,Colleges,College of Chemistry,Chemistry Department,University of California,0,55000,55000
2315,UC CRCC  Cancer Research Coordinating Committee,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),University of California,0,55000,0
2316,UC California Foreign Language Project,L&S College of Letters & Sciences,Division of Arts & Humanities,Berkeley Language Center,University of California,27648,0,0
2317,UC California HIV/AIDS Research Program,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,University of California,100435,99565,0
2318,UC California Literature Project,Schools,Graduate School of Education,Null,University of California,46331,0,0
2319,UC California Literature Project,Schools,Graduate School of Education,School of Education,University of California,29500,0,0
2320,UC California Writing Project,L&S College of Letters & Sciences,Division of Social Sciences,History,University of California,0,45000,0
2321,UC California Writing Project,Schools,Graduate School of Education,Null,University of California,310925,0,0
2322,UC California Writing Project,Schools,Graduate School of Education,School of Education,University of California,0,93710,37808
2323,UC Davis,Colleges,CNR College of Natural Resources,Null,University of California,141530,48763,0
2324,UC Davis,Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,University of California,0,0,317334
2325,UC Davis,Colleges,CNR College of Natural Resources,CNR Office of the Dean,University of California,41009,14775,0
2326,UC Davis,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",University of California,46548,43624,5400
2327,UC Davis,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,University of California,0,0,0
2328,UC Davis,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,University of California,0,245833,0
2329,UC Davis,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,University of California,0,0,0
2330,UC Davis,Colleges,College of Engineering,ERSO Engineering Research Support Organization,University of California,220063,3825981,2197145
2331,UC Davis,Colleges,College of Engineering,Nuclear Engineering,University of California,35000,0,0
2332,UC Davis,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,University of California,49254,54171,48703
2333,UC Davis,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,University of California,0,0,23205
